chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAllelePloidy	minorAllelePloidyDeviation	observedTumorRatio	observedNormalRatio	majorAllelePloidy	majorAllelePloidyDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	svCluster	eventPenalty	minStart	maxStart
chr4	138101001	138966000	DIPLOID	109	0.5393	1.0000	0.2000	0.9545	0.9997	1.0113	0.2000	0.2157	2.0113	0.0000	0.0000	2.0114	true	NONE	822	0.5028	0.3518	false	1.0034	138092001	138101001
chr4	138966001	138967000	HET_DELETION	0	0.0000	0.0000	0.2000	0.1349	0.1759	-0.0429	1.7676	0.0000	-0.0429	0.0000	0.0000	0.2711	true	NONE	1	1.0000	0.4160	false	1.6129	138966001	138966001
chr4	138967001	139880000	DIPLOID	98	0.5385	1.0000	0.2000	0.9621	1.0108	1.0303	0.2000	0.2154	2.0303	0.0000	0.0000	2.0262	true	NONE	856	0.5075	0.3849	false	1.0091	138966001	138967001
chr4	139880001	140238000	DIPLOID	17	0.5469	0.8248	0.8379	0.8941	0.9625	1.0350	0.2200	0.5785	1.8598	0.0000	0.0000	1.8741	true	NONE	339	0.5565	0.4141	false	1.0631	139880001	139880001
chr4	140238001	148363000	DIPLOID	1135	0.5368	1.0000	0.2000	0.9564	1.0008	1.0161	0.2000	0.2147	2.0161	0.0000	0.0000	2.0158	true	NONE	7221	0.5040	0.3834	false	1.0048	140238001	140238001
chr4	148363001	148857000	DIPLOID	0	0.0000	0.9690	0.2000	0.9376	0.9883	1.0000	0.2000	0.0000	1.9690	0.0000	0.0000	1.9734	true	NONE	472	0.5079	0.4054	false	1.0093	148363001	148363001
chr4	148857001	148928000	DIPLOID	0	0.0000	0.5666	0.9995	0.6480	0.9917	0.6764	2.4657	0.0000	1.2430	0.0000	0.0000	1.2461	true	NONE	64	0.5442	0.3977	false	1.2271	148857001	148858001
chr4	148928001	148929000	DIPLOID	3	0.8649	0.0310	0.2000	0.6540	1.0653	1.2272	0.9302	0.9775	1.2581	0.0000	0.0000	1.2333	true	NONE	1	0.9754	0.4190	false	1.3589	148928001	148928001
chr4	148929001	148931000	DIPLOID	0	0.0000	0.5319	0.9998	0.6176	1.0461	0.6350	2.5403	0.0000	1.1669	0.0000	0.0000	1.1494	true	NONE	2	0.5442	0.4055	false	1.2499	148929001	148929001
chr4	148931001	148978000	DIPLOID	1	0.6557	0.3560	0.9955	0.6333	1.0038	0.8503	1.7600	1.8068	1.2063	0.0000	0.0000	1.2049	true	NONE	47	0.7049	0.4013	false	1.2381	148931001	148931001
chr4	148978001	149226000	DIPLOID	28	0.5414	1.0000	0.2000	0.9599	1.0156	1.0248	0.2000	0.2166	2.0248	0.0000	0.0000	2.0188	true	NONE	240	0.5061	0.4011	false	1.0074	148978001	148978001
chr4	149226001	149229000	AMPLIFICATION	0	0.0000	1.0000	0.2000	0.9558	1.1568	1.0146	0.2000	0.0000	2.0146	0.0000	0.0000	1.9549	true	NONE	3	0.5036	0.3423	false	1.0044	149226001	149226001
chr4	149229001	149258000	DIPLOID	0	0.0000	0.4777	0.9999	0.5701	1.0258	0.5703	2.6434	0.0000	1.0479	0.0000	0.0000	1.0381	true	NONE	23	0.5442	0.3683	false	1.2856	149226001	149229001
chr4	149258001	149402000	DIPLOID	49	0.8491	0.0219	0.2000	0.5616	1.0017	1.0046	0.2000	0.3396	1.0265	0.0000	0.0000	1.0258	true	NONE	140	0.9787	0.3742	false	1.2948	149258001	149258001
chr4	149402001	149521000	DIPLOID	0	0.0000	0.4568	0.9997	0.5519	0.9999	0.5454	2.6814	0.0000	1.0021	0.0000	0.0000	1.0022	true	NONE	104	0.5442	0.3820	false	1.2994	149402001	149402001
chr4	149521001	149669000	DIPLOID	0	0.0000	1.0000	0.2000	0.9615	1.0081	1.0289	0.2000	0.0000	2.0289	0.0000	0.0000	2.0258	true	NONE	145	0.5071	0.3673	false	1.0087	149521001	149521001
chr4	149669001	151916000	DIPLOID	236	0.5385	1.0000	0.2000	0.9559	1.0030	1.0147	0.2000	0.2154	2.0147	0.0000	0.0000	2.0136	true	NONE	2101	0.5037	0.3673	false	1.0044	149669001	149669001
chr4	151916001	152083000	DIPLOID	2	0.5714	0.7453	0.9579	0.8712	0.9560	1.0571	0.3516	0.7482	1.8025	0.0000	0.0000	1.8192	true	NONE	160	0.5865	0.4255	false	1.0935	151916001	151916001
chr4	152083001	154028000	DIPLOID	194	0.5363	1.0000	0.2000	0.9595	1.0000	1.0239	0.2000	0.2145	2.0239	0.0000	0.0000	2.0239	true	NONE	1860	0.5059	0.4070	false	1.0072	152083001	152083001
chr4	154028001	154444000	DIPLOID	66	0.5381	0.9320	0.4127	0.9229	0.9921	1.0000	0.2000	0.3297	1.9320	0.0000	0.0000	1.9350	true	NONE	407	0.5176	0.4220	false	1.0204	154028001	154028001
chr4	154444001	154448000	DIPLOID	0	0.0000	1.0000	0.2000	0.9708	0.9774	1.0521	0.3222	0.0000	2.0521	0.0000	0.0000	2.0607	true	NONE	4	0.5127	0.4375	false	1.0156	154444001	154444001
chr4	154448001	154540000	DIPLOID	0	0.0000	0.5578	0.9996	0.6402	0.9825	0.6659	2.4858	0.0000	1.2237	0.0000	0.0000	1.2303	true	NONE	92	0.5442	0.4017	false	1.2329	154448001	154448001
chr4	154540001	154555000	DIPLOID	18	0.7588	0.2018	0.8926	0.6488	0.9925	1.0435	0.2713	0.8832	1.2452	0.0000	0.0000	1.2481	true	NONE	15	0.8380	0.4484	false	1.2525	154540001	154540001
chr4	154555001	154562000	DIPLOID	0	0.0000	1.0000	0.2000	0.9924	0.9583	1.1062	0.6032	0.0000	2.1062	0.0000	0.0000	2.1221	true	NONE	7	0.5252	0.4603	false	1.0319	154555001	154555001
chr4	154562001	156305000	DIPLOID	507	0.5321	1.0000	0.2000	0.9656	1.0045	1.0391	0.2447	0.2366	2.0391	0.0000	0.0000	2.0373	true	NONE	1648	0.5096	0.3833	false	1.0117	154562001	154562001
chr4	156305001	156306000	DIPLOID	0	0.0000	3.4907	0.9999	3.1408	0.9128	4.0000	0.2000	0.0000	7.4907	0.0000	0.0000	7.5239	true	NONE	1	0.5340	0.5410	false	2.3472	156305001	156305001
chr4	156306001	158276000	DIPLOID	341	0.5393	1.0000	0.2000	0.9601	0.9993	1.0254	0.2000	0.2157	2.0254	0.0000	0.0000	2.0256	true	NONE	1886	0.5063	0.3615	false	1.0076	156306001	156306001
chr4	158276001	158278000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5158	0.5597	0.9119	1.1680	0.0000	0.9119	0.0000	0.0000	1.0796	true	NONE	2	1.0000	0.2850	false	1.3264	158276001	158276001
chr4	158278001	163278000	DIPLOID	473	0.5400	1.0000	0.2000	0.9532	0.9960	1.0080	0.2000	0.2160	2.0080	0.0000	0.0000	2.0096	true	NONE	4672	0.5020	0.3595	false	1.0024	158276001	158278001
chr4	163278001	163281000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5143	0.6056	0.9080	1.2121	0.0000	0.9080	0.0000	0.0000	1.0583	true	NONE	3	1.0000	0.3477	false	1.3276	163278001	163278001
chr4	163281001	165675000	DIPLOID	452	0.5375	0.9986	0.2000	0.9495	1.0024	1.0000	0.2000	0.2150	1.9986	0.0000	0.0000	1.9977	true	NONE	2205	0.5003	0.3616	false	1.0004	163278001	163281001
chr4	165675001	166026000	DIPLOID	73	0.5441	0.8763	0.6764	0.9006	0.9705	1.0000	0.2000	0.4768	1.8763	0.0000	0.0000	1.8876	true	NONE	311	0.5330	0.4127	false	1.0371	165675001	165675001
chr4	166026001	166313000	DIPLOID	21	0.5312	1.0000	0.2000	0.9626	1.0054	1.0316	0.2000	0.2125	2.0316	0.0000	0.0000	2.0295	true	NONE	204	0.5078	0.3964	false	1.0095	166026001	166026001
chr4	166313001	166314000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3633	0.4175	0.5296	2.7053	0.0000	0.5296	0.0000	0.0000	0.7515	true	NONE	1	1.0000	0.2540	false	1.4411	166313001	166313001
chr4	166314001	168126000	DIPLOID	282	0.5366	1.0000	0.2000	0.9544	0.9965	1.0109	0.2000	0.2146	2.0109	0.0000	0.0000	2.0122	true	NONE	1700	0.5027	0.3554	false	1.0033	166313001	166314001
chr4	168126001	168127000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2889	0.2764	0.3431	2.9730	0.0000	0.3431	0.0000	0.0000	0.6188	true	NONE	1	1.0000	0.2700	false	1.4971	168126001	168126001
chr4	168127001	168418000	DIPLOID	43	0.5435	0.9823	0.2000	0.9429	0.9957	1.0000	0.2000	0.2174	1.9823	0.0000	0.0000	1.9839	true	NONE	256	0.5045	0.3509	false	1.0053	168126001	168127001
chr4	168418001	168419000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5390	0.7400	0.9699	0.4245	0.0000	0.9699	0.0000	0.0000	1.0690	true	NONE	1	1.0000	0.3860	false	1.3090	168418001	168418001
chr4	168419001	168424000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4399	0.5135	0.7215	2.3652	0.0000	0.7215	0.0000	0.0000	0.9069	true	NONE	5	1.0000	0.3664	false	1.3835	168419001	168419001
chr4	168424001	172374000	DIPLOID	354	0.5359	1.0000	0.2000	0.9525	0.9995	1.0063	0.2000	0.2144	2.0063	0.0000	0.0000	2.0065	true	NONE	3703	0.5016	0.3738	false	1.0019	168418001	168424001
chr4	172374001	172380000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4630	0.4728	0.7796	2.1735	0.0000	0.7796	0.0000	0.0000	0.9804	true	NONE	2	1.0000	0.3040	false	1.3661	172374001	172374001
chr4	172380001	174252000	DIPLOID	76	0.5397	0.9864	0.2000	0.9446	0.9962	1.0000	0.2000	0.2159	1.9864	0.0000	0.0000	1.9879	true	NONE	1782	0.5034	0.3657	false	1.0041	172374001	172380001
chr4	174252001	174309000	DIPLOID	0	0.0000	0.7847	0.9142	0.8389	1.0048	0.9368	0.8662	0.0000	1.7215	0.0000	0.0000	1.7197	true	NONE	55	0.5442	0.3845	false	1.0835	174252001	174252001
chr4	174309001	175625000	DIPLOID	215	0.5385	0.9940	0.2000	0.9476	0.9972	1.0000	0.2000	0.2154	1.9940	0.0000	0.0000	1.9951	true	NONE	1246	0.5015	0.3733	false	1.0018	174309001	174309001
chr4	175625001	175627000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4832	0.5600	0.8299	1.9055	0.0000	0.8299	0.0000	0.0000	0.9976	true	NONE	2	1.0000	0.3885	false	1.3510	175625001	175625001
chr4	175627001	180799000	DIPLOID	978	0.5357	0.9898	0.2000	0.9459	0.9984	1.0000	0.2000	0.2143	1.9898	0.0000	0.0000	1.9904	true	NONE	4924	0.5026	0.3593	false	1.0031	175625001	175627001
chr4	180799001	180800000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3848	0.3911	0.5835	2.6230	0.0000	0.5835	0.0000	0.0000	0.8154	true	NONE	1	1.0000	0.3420	false	1.4250	180799001	180799001
chr4	180800001	184674000	DIPLOID	645	0.5375	0.9702	0.2000	0.9381	0.9965	1.0000	0.2000	0.2150	1.9702	0.0000	0.0000	1.9715	true	NONE	3695	0.5076	0.3870	false	1.0090	180799001	180800001
chr4	184674001	184676000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5414	0.5602	0.9761	0.3389	0.0000	0.9761	0.0000	0.0000	1.1436	true	NONE	2	1.0000	0.4880	false	1.3072	184674001	184674001
chr4	184676001	185597000	DIPLOID	118	0.5435	1.0000	0.2000	0.9553	0.9972	1.0134	0.2000	0.2174	2.0134	0.0000	0.0000	2.0145	true	NONE	882	0.5033	0.4321	false	1.0040	184674001	184676001
chr4	185597001	185598000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3439	0.3622	0.4810	2.7783	0.0000	0.4810	0.0000	0.0000	0.7239	true	NONE	1	1.0000	0.4930	false	1.4557	185597001	185597001
chr4	185598001	186442000	DIPLOID	204	0.5393	0.9920	0.2000	0.9468	0.9943	1.0000	0.2000	0.2157	1.9920	0.0000	0.0000	1.9942	true	NONE	791	0.5020	0.4221	false	1.0024	185597001	185598001
chr4	186442001	186444000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4574	0.4458	0.7654	2.2295	0.0000	0.7654	0.0000	0.0000	0.9765	true	NONE	2	1.0000	0.4030	false	1.3704	186442001	186442001
chr4	186444001	187094000	DIPLOID	184	0.5353	1.0000	0.2000	0.9669	0.9939	1.0424	0.2647	0.2488	2.0424	0.0000	0.0000	2.0447	true	NONE	614	0.5104	0.4119	false	1.0127	186442001	186444001
chr4	187094001	187098000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4950	0.4903	0.8597	1.6846	0.0000	0.8597	0.0000	0.0000	1.0539	true	NONE	4	1.0000	0.3840	false	1.3421	187094001	187094001
chr4	187098001	188978000	DIPLOID	307	0.5333	0.9917	0.2000	0.9467	0.9947	1.0000	0.2000	0.2133	1.9917	0.0000	0.0000	1.9937	true	NONE	1736	0.5021	0.3981	false	1.0025	187094001	187098001
chr4	188978001	189137000	DIPLOID	8	0.5260	0.8041	0.8820	0.8559	0.9651	0.9600	0.5604	0.7586	1.7641	0.0000	0.0000	1.7774	true	NONE	144	0.5442	0.4327	false	1.0708	188978001	188978001
chr4	189137001	189138000	HET_DELETION	0	0.0000	0.0000	0.2000	0.1771	0.1487	0.0629	2.1743	0.0000	0.0629	0.0000	0.0000	0.3872	true	NONE	1	1.0000	0.5390	false	1.5811	189137001	189137001
chr4	189138001	189425000	DIPLOID	97	0.5354	0.8954	0.5960	0.9083	0.9951	1.0000	0.2000	0.4262	1.8954	0.0000	0.0000	1.8973	true	NONE	270	0.5276	0.4056	false	1.0314	189137001	189138001
chr4	189425001	189428000	NOISE	0	0.0000	3.0000	0.2000	2.7274	3.1252	3.4546	0.9997	0.0000	6.4546	0.0000	0.0000	5.6450	true	NONE	1	0.5352	0.4200	false	2.0364	189425001	189427001
chr4	189428001	190194000	DIPLOID	179	0.5385	0.9688	0.2000	0.9375	0.9957	1.0000	0.2000	0.2154	1.9688	0.0000	0.0000	1.9704	true	NONE	710	0.5079	0.3781	false	1.0094	189425001	189429001
chr4	190194001	190197000	AMPLIFICATION	0	0.0000	1.5990	0.9986	1.5517	1.5638	1.9090	0.5321	0.0000	3.5080	0.0000	0.0000	3.2932	true	NONE	3	0.5442	0.3917	false	1.4476	190194001	190194001
chr4	190197001	190200000	NOISE	0	0.0000	2.5102	0.9999	2.3506	2.8440	3.0000	0.2000	0.0000	5.5102	0.0000	0.0000	4.8077	true	NONE	3	0.5444	0.4190	false	1.7531	190197001	190197001
chr4	190200001	190201000	NOISE	0	0.0000	15.7704	0.9330	13.2274	14.9402	17.0000	0.2000	0.0000	32.7704	0.0000	0.0000	27.4599	true	NONE	1	0.5188	0.4650	false	9.9311	190200001	190200001
chr4	190201001	190202000	NOISE	0	0.0000	3.1129	0.6322	2.8769	3.4085	3.7165	0.9763	0.0000	6.8293	0.0000	0.0000	5.9118	true	NONE	1	0.5442	0.5220	false	2.1488	190201001	190201001
chr4	190202001	190470000	DIPLOID	82	0.5321	0.9934	0.2000	0.9474	0.9992	1.0000	0.2000	0.2128	1.9934	0.0000	0.0000	1.9937	true	NONE	233	0.5016	0.3925	false	1.0020	190194001	190202001
chr4	190470001	190547000	NOISE	2	0.5540	3.4449	0.9996	3.2523	3.4563	4.3252	0.9906	1.1026	7.7702	0.0000	0.0000	6.8344	true	NONE	75	0.5566	0.4259	false	2.4310	190470001	190470001
chr4	190547001	190681000	NOISE	0	0.0000	4.0338	0.2124	3.6830	3.9505	4.8159	0.8582	0.0000	8.8497	0.0000	0.0000	7.7257	true	NONE	122	0.5442	0.4138	false	2.7549	190547001	190547001
chr4	190681001	190685000	NOISE	0	0.0000	3.0000	0.2000	2.6173	2.7911	3.1786	0.8459	0.0000	6.1786	0.0000	0.0000	5.4963	true	NONE	3	0.5145	0.4157	false	1.9536	190681001	190681001
chr4	190685001	190718000	AMPLIFICATION	0	0.0000	1.4350	0.9995	1.4082	1.5421	1.7133	0.9779	0.0000	3.1483	0.0000	0.0000	2.9417	true	NONE	33	0.5442	0.4219	false	1.3445	190685001	190685001
chr4	190718001	190796000	DIPLOID	15	0.5412	1.0000	0.2000	0.9702	0.9989	1.0506	0.3136	0.2780	2.0506	0.0000	0.0000	2.0510	true	NONE	68	0.5123	0.4184	false	1.0152	190470001	190721001
chr4	190796001	190806000	NOISE	0	0.0000	3.2260	0.9287	2.9759	3.4219	3.8515	0.7639	0.0000	7.0776	0.0000	0.0000	6.1549	true	NONE	7	0.5442	0.4107	false	2.2233	190796001	190796001
chr4	190806001	190810000	AMPLIFICATION	0	0.0000	1.1244	0.6791	1.1362	1.1989	1.3424	0.9937	0.0000	2.4668	0.0000	0.0000	2.3910	true	NONE	2	0.5442	0.4335	false	1.1400	190806001	190806001
chr4	190810001	190826000	NOISE	1	0.5955	1.9159	0.4978	2.0777	2.2776	2.9105	0.5248	0.6090	4.8264	0.0000	0.0000	4.3397	true	NONE	7	0.6030	0.4243	false	1.5984	190810001	190813001
chr4	190826001	190839000	AMPLIFICATION	1	0.6392	0.8746	0.6831	1.1778	1.2413	1.6964	0.9846	1.0660	2.5710	0.0000	0.0000	2.4790	true	NONE	9	0.6598	0.4009	false	1.2465	190826001	190826001
chr4	190839001	190843000	NOISE	0	0.0000	13.2471	0.9514	11.0236	12.8010	14.0000	0.2000	0.0000	27.2471	0.0000	0.0000	22.7515	true	NONE	1	0.5138	0.3280	false	8.2741	190839001	190842001
chr4	190843001	190895000	AMPLIFICATION	1	0.6378	1.0952	0.5526	1.4163	1.5131	2.0735	0.4425	0.6347	3.1687	0.0000	0.0000	2.9733	true	NONE	18	0.6544	0.3900	false	1.3506	190843001	190844001
chr4	190895001	190897000	NOISE	0	0.0000	4.3203	0.9894	3.8708	4.7767	5.0000	0.2000	0.0000	9.3203	0.0000	0.0000	7.8816	true	NONE	2	0.5365	0.3565	false	2.8961	190895001	190895001
chr4	190897001	190903000	HET_DELETION	0	0.0000	0.6641	0.9926	0.7333	0.6745	0.7929	2.1139	0.0000	1.4570	0.0000	0.0000	1.5810	true	NONE	2	0.5442	0.5850	false	1.1629	190897001	190901001
chr4	190903001	190910000	NOISE	1	0.5800	2.8595	0.7377	2.8975	3.2348	4.0214	0.2000	0.5439	6.8810	0.0000	0.0000	6.0296	true	NONE	1	0.5844	0.4210	false	2.1643	190903001	190909001
chr4	190910001	190940000	AMPLIFICATION	2	0.5774	1.2932	0.9807	1.4006	1.6044	1.8362	0.8087	1.0331	3.1294	0.0000	0.0000	2.8992	true	NONE	16	0.5868	0.4411	false	1.3388	190910001	190910001
chr4	190940001	191031000	NOISE	0	0.0000	3.5429	0.9997	3.1616	3.3335	4.0000	0.2000	0.0000	7.5429	0.0000	0.0000	6.6539	true	NONE	2	0.5303	0.5253	false	2.3629	190940001	190941001
chr4	191031001	191154276	UNKNOWN	0	0.0000	0.0000	0.2000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	0	1.0000	0.0000	false	1.6000	191031001	191031001
chr5	1	13000	UNKNOWN	0	0.0000	0.0000	0.2000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	TELOMERE	0	1.0000	0.0000	false	1.6000	1	1
chr5	13001	172000	DIPLOID	0	0.0000	0.9262	0.4442	0.9205	0.9713	1.0000	0.2000	0.0000	1.9262	0.0000	0.0000	1.9371	true	NONE	114	0.5192	0.4720	false	1.0221	1	13001
chr5	172001	552000	DIPLOID	31	0.5375	0.9449	0.3396	0.9280	0.9820	1.0000	0.2000	0.2900	1.9449	0.0000	0.0000	1.9518	true	NONE	209	0.5142	0.5382	false	1.0165	172001	172001
chr5	552001	555000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3215	0.4155	0.4248	2.8614	0.0000	0.4248	0.0000	0.0000	0.6475	true	NONE	1	1.0000	0.5800	false	1.4726	552001	554001
chr5	555001	584000	DIPLOID	2	0.5790	0.8029	0.8842	0.9415	0.9936	1.1757	0.8392	0.9979	1.9787	0.0000	0.0000	1.9811	true	NONE	19	0.5942	0.5168	false	1.1118	552001	559001
chr5	584001	585000	HET_DELETION	0	0.0000	0.0000	0.2000	0.0943	0.1089	-0.1446	2.2515	0.0000	-0.1446	0.0000	0.0000	0.1949	true	NONE	1	1.0000	0.5970	false	1.6434	584001	584001
chr5	585001	1021000	DIPLOID	65	0.5385	1.0000	0.2000	0.9546	0.9965	1.0115	0.2000	0.2154	2.0115	0.0000	0.0000	2.0129	true	NONE	211	0.5029	0.5317	false	1.0035	584001	585001
chr5	1021001	1050000	HET_DELETION	14	0.5789	0.5718	0.9994	0.7223	0.7993	0.8575	1.7028	1.5643	1.4293	0.0000	0.0000	1.5058	true	NONE	13	0.5999	0.5644	false	1.1712	1021001	1021001
chr5	1050001	1191000	DIPLOID	73	0.5376	0.9844	0.2000	0.9438	0.9613	1.0000	0.2000	0.2150	1.9844	0.0000	0.0000	1.9992	true	NONE	70	0.5039	0.5918	false	1.0047	1021001	1050001
chr5	1191001	1193000	HET_DELETION	0	0.0000	0.0000	0.2000	0.0466	0.1289	-0.2642	2.4650	0.0000	-0.2642	0.0000	0.0000	0.0677	true	NONE	1	1.0000	0.5890	false	1.6792	1191001	1192001
chr5	1193001	1543000	DIPLOID	69	0.5393	0.9716	0.2000	0.9387	1.0021	1.0000	0.2000	0.2157	1.9716	0.0000	0.0000	1.9708	true	NONE	262	0.5072	0.5455	false	1.0085	1191001	1194001
chr5	1543001	1544000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3420	0.4772	0.4762	2.7854	0.0000	0.4762	0.0000	0.0000	0.6754	true	NONE	1	1.0000	0.5100	false	1.4571	1543001	1543001
chr5	1544001	1651000	DIPLOID	12	0.5546	0.8423	0.7918	0.9252	0.9862	1.0955	0.5540	0.7464	1.9378	0.0000	0.0000	1.9431	true	NONE	37	0.5653	0.5249	false	1.0760	1543001	1544001
chr5	1651001	1652000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2873	0.4257	0.3391	2.9777	0.0000	0.3391	0.0000	0.0000	0.5579	true	NONE	1	1.0000	0.5740	false	1.4983	1651001	1651001
chr5	1652001	2280000	DIPLOID	146	0.5333	0.9869	0.2000	0.9448	0.9940	1.0000	0.2000	0.2133	1.9869	0.0000	0.0000	1.9892	true	NONE	545	0.5033	0.4880	false	1.0039	1651001	1656001
chr5	2280001	2282000	HET_DELETION	1	0.5735	0.0000	0.2000	0.4345	0.4975	0.7079	2.3987	1.4903	0.7079	0.0000	0.0000	0.8993	true	NONE	2	1.0000	0.5375	false	1.3876	2280001	2280001
chr5	2282001	2367000	DIPLOID	51	0.5354	1.0000	0.2000	0.9531	0.9969	1.0078	0.2000	0.2142	2.0078	0.0000	0.0000	2.0090	true	NONE	82	0.5019	0.4500	false	1.0023	2280001	2282001
chr5	2367001	2369000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4961	0.5000	0.8625	1.6609	0.0000	0.8625	0.0000	0.0000	1.0530	true	NONE	2	1.0000	0.4815	false	1.3412	2367001	2367001
chr5	2369001	3392000	DIPLOID	292	0.5381	0.9819	0.2000	0.9428	1.0013	1.0000	0.2000	0.2152	1.9819	0.0000	0.0000	1.9814	true	NONE	992	0.5046	0.4501	false	1.0054	2367001	2369001
chr5	3392001	3393000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3204	0.3783	0.4221	2.8654	0.0000	0.4221	0.0000	0.0000	0.6589	true	NONE	1	1.0000	0.6040	false	1.4734	3392001	3392001
chr5	3393001	3660000	DIPLOID	56	0.5363	0.9553	0.2789	0.9322	0.9899	1.0000	0.2000	0.2568	1.9553	0.0000	0.0000	1.9591	true	NONE	240	0.5114	0.4425	false	1.0134	3392001	3393001
chr5	3660001	3661000	AMPLIFICATION	0	0.0000	2.3259	0.9907	2.1880	2.0456	2.7769	0.9250	0.0000	5.1028	0.0000	0.0000	4.7044	true	NONE	1	0.5442	0.4870	false	1.6308	3660001	3660001
chr5	3661001	3856000	DIPLOID	112	0.5367	0.9759	0.2000	0.9404	0.9863	1.0000	0.2000	0.2147	1.9759	0.0000	0.0000	1.9811	true	NONE	189	0.5061	0.4243	false	1.0072	3660001	3661001
chr5	3856001	3857000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3705	0.3921	0.5476	2.6780	0.0000	0.5476	0.0000	0.0000	0.7792	true	NONE	1	1.0000	0.3270	false	1.4357	3856001	3856001
chr5	3857001	7371000	DIPLOID	810	0.5402	1.0000	0.2000	0.9552	1.0016	1.0130	0.2000	0.2161	2.0130	0.0000	0.0000	2.0124	true	NONE	3326	0.5032	0.4177	false	1.0039	3856001	3857001
chr5	7371001	7373000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4896	0.4189	0.8461	1.7919	0.0000	0.8461	0.0000	0.0000	1.0675	true	NONE	2	1.0000	0.5265	false	1.3462	7371001	7371001
chr5	7373001	11128000	DIPLOID	815	0.5340	1.0000	0.2000	0.9589	0.9995	1.0223	0.2000	0.2136	2.0223	0.0000	0.0000	2.0225	true	NONE	3570	0.5055	0.4098	false	1.0067	7371001	7373001
chr5	11128001	11130000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4833	0.5134	0.8303	1.9030	0.0000	0.8303	0.0000	0.0000	1.0157	true	NONE	2	1.0000	0.3310	false	1.3509	11128001	11128001
chr5	11130001	11523000	DIPLOID	75	0.5345	1.0000	0.2000	0.9563	0.9959	1.0158	0.2000	0.2138	2.0158	0.0000	0.0000	2.0174	true	NONE	384	0.5039	0.4001	false	1.0047	11128001	11130001
chr5	11523001	11546000	DIPLOID	0	0.0000	0.9744	0.2000	0.9398	0.9750	1.0000	0.2000	0.0000	1.9744	0.0000	0.0000	1.9839	true	NONE	23	0.5065	0.4089	false	1.0077	11523001	11523001
chr5	11546001	11556000	DIPLOID	0	0.0000	0.4685	0.9998	0.5621	0.9587	0.5593	2.6602	0.0000	1.0278	0.0000	0.0000	1.0435	true	NONE	10	0.5442	0.3554	false	1.2917	11546001	11546001
chr5	11556001	11632000	DIPLOID	23	0.8367	0.0354	0.2224	0.5519	0.9990	0.9668	0.4673	0.5771	1.0022	0.0000	0.0000	1.0026	true	NONE	76	0.9647	0.3729	false	1.2993	11556001	11556001
chr5	11632001	11658000	DIPLOID	0	0.0000	0.4756	0.9999	0.5683	0.9676	0.5678	2.6472	0.0000	1.0434	0.0000	0.0000	1.0557	true	NONE	25	0.5442	0.3762	false	1.2870	11632001	11632001
chr5	11658001	12496000	DIPLOID	0	0.0000	1.0000	0.2000	0.9571	0.9977	1.0178	0.2000	0.0000	2.0178	0.0000	0.0000	2.0187	true	NONE	805	0.5044	0.3650	false	1.0053	11658001	11658001
chr5	12496001	14403000	DIPLOID	570	0.5344	1.0000	0.2000	0.9624	1.0015	1.0311	0.2000	0.2138	2.0311	0.0000	0.0000	2.0305	true	NONE	1848	0.5077	0.3822	false	1.0093	12496001	12496001
chr5	14403001	14404000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3852	0.2642	0.5845	2.6215	0.0000	0.5845	0.0000	0.0000	0.8648	true	NONE	1	1.0000	0.5820	false	1.4247	14403001	14403001
chr5	14404001	14483000	DIPLOID	12	0.5523	0.8783	0.6685	0.9524	0.9949	1.1277	0.6920	0.7513	2.0060	0.0000	0.0000	2.0080	true	NONE	78	0.5622	0.4394	false	1.0748	14403001	14404001
