GENE_ID	MUTS	MUTS_RECURRENCE	SAMPLES	P_VALUE	Q_VALUE	P_VALUE_NEG	Q_VALUE_NEG	SNP	MNP	INDELS	SYMBOL
gc19_pc.3utr::gencode::SUPT6H::ENSG00000109111.10	2	2	2	0.34459	1.0	0.65541	0.9506951979196764	2	0	0	gc19_pc.3utr::gencode::SUPT6H::ENSG00000109111.10
gc19_pc.3utr::gencode::APOBEC3C::ENSG00000244509.3	5	5	5	0.34476	1.0	0.65524	0.9506951979196764	5	0	0	gc19_pc.3utr::gencode::APOBEC3C::ENSG00000244509.3
gc19_pc.3utr::gencode::POU3F1::ENSG00000185668.5	4	4	4	0.34484	1.0	0.65516	0.9506951979196764	2	0	2	gc19_pc.3utr::gencode::POU3F1::ENSG00000185668.5
gc19_pc.3utr::gencode::TRPC1::ENSG00000144935.10	5	5	5	0.34487	1.0	0.65513	0.9506951979196764	5	0	0	gc19_pc.3utr::gencode::TRPC1::ENSG00000144935.10
gc19_pc.3utr::gencode::MLLT6::ENSG00000108292.12	4	4	4	0.34521	1.0	0.65479	0.9506951979196764	4	0	0	gc19_pc.3utr::gencode::MLLT6::ENSG00000108292.12
gc19_pc.3utr::gencode::NPFFR1::ENSG00000148734.7	23	23	23	0.34523	1.0	0.65477	0.9506951979196764	23	0	0	gc19_pc.3utr::gencode::NPFFR1::ENSG00000148734.7
gc19_pc.3utr::gencode::NRBP2::ENSG00000185189.11	1	1	1	0.34552		0.65464		1	0	0	gc19_pc.3utr::gencode::NRBP2::ENSG00000185189.11
gc19_pc.3utr::gencode::CASQ2::ENSG00000118729.10	5	5	5	0.34555	1.0	0.65445	0.9506951979196764	5	0	0	gc19_pc.3utr::gencode::CASQ2::ENSG00000118729.10
gc19_pc.3utr::gencode::OR5B12::ENSG00000172362.2	1	1	1	0.34565		0.66093		1	0	0	gc19_pc.3utr::gencode::OR5B12::ENSG00000172362.2
gc19_pc.3utr::gencode::FRMD4A::ENSG00000151474.15	7	7	6	0.34593	1.0	0.65407	0.9504006317636737	7	0	0	gc19_pc.3utr::gencode::FRMD4A::ENSG00000151474.15
gc19_pc.3utr::gencode::CNIH1::ENSG00000100528.7	2	2	2	0.34608	1.0	0.65392	0.9503216498464238	2	0	0	gc19_pc.3utr::gencode::CNIH1::ENSG00000100528.7
gc19_pc.3utr::gencode::KRBA2::ENSG00000184619.3	1	1	1	0.34615		0.65424		1	0	0	gc19_pc.3utr::gencode::KRBA2::ENSG00000184619.3
gc19_pc.3utr::gencode::KIAA1107::ENSG00000069712.9	1	1	1	0.34645		0.65445		1	0	0	gc19_pc.3utr::gencode::KIAA1107::ENSG00000069712.9
gc19_pc.3utr::gencode::SLC25A30::ENSG00000174032.12	6	6	6	0.34667	1.0	0.65333	0.949603112931539	4	0	2	gc19_pc.3utr::gencode::SLC25A30::ENSG00000174032.12
gc19_pc.3utr::gencode::C7orf60::ENSG00000164603.7	7	7	6	0.34673	1.0	0.65327	0.949603112931539	7	0	0	gc19_pc.3utr::gencode::C7orf60::ENSG00000164603.7
gc19_pc.3utr::gencode::ABCC1::ENSG00000103222.14	3	3	3	0.34682	1.0	0.65318	0.949603112931539	2	0	1	gc19_pc.3utr::gencode::ABCC1::ENSG00000103222.14
gc19_pc.3utr::gencode::KERA::ENSG00000139330.5	7	7	7	0.34685	1.0	0.65315	0.949603112931539	7	0	0	gc19_pc.3utr::gencode::KERA::ENSG00000139330.5
gc19_pc.3utr::gencode::VRTN::ENSG00000133980.4	3	3	3	0.34695	1.0	0.65305	0.949603112931539	3	0	0	gc19_pc.3utr::gencode::VRTN::ENSG00000133980.4
gc19_pc.3utr::gencode::PRELP::ENSG00000188783.5	22	22	21	0.34701	1.0	0.65299	0.949603112931539	21	1	0	gc19_pc.3utr::gencode::PRELP::ENSG00000188783.5
gc19_pc.3utr::gencode::DCLK3::ENSG00000163673.6	11	11	10	0.34725	1.0	0.65275	0.9495935578330893	11	0	0	gc19_pc.3utr::gencode::DCLK3::ENSG00000163673.6
gc19_pc.3utr::gencode::RHOF::ENSG00000139725.3	2	2	2	0.34726	1.0	0.65274	0.9495935578330893	1	0	1	gc19_pc.3utr::gencode::RHOF::ENSG00000139725.3
gc19_pc.3utr::gencode::ZDHHC6::ENSG00000023041.7	2	2	2	0.34727	1.0	0.65273	0.9495935578330893	2	0	0	gc19_pc.3utr::gencode::ZDHHC6::ENSG00000023041.7
gc19_pc.3utr::gencode::KIAA1468::ENSG00000134444.9	1	1	1	0.34731		0.65276		1	0	0	gc19_pc.3utr::gencode::KIAA1468::ENSG00000134444.9
gc19_pc.3utr::gencode::KRT10::ENSG00000186395.6	1	1	1	0.34739		0.65726		1	0	0	gc19_pc.3utr::gencode::KRT10::ENSG00000186395.6
gc19_pc.3utr::gencode::CPEB4::ENSG00000113742.8	8	8	8	0.34743	1.0	0.65257	0.9495935578330893	6	0	2	gc19_pc.3utr::gencode::CPEB4::ENSG00000113742.8
gc19_pc.3utr::gencode::PFKFB1::ENSG00000158571.6	1	1	1	0.34758		0.65294		1	0	0	gc19_pc.3utr::gencode::PFKFB1::ENSG00000158571.6
gc19_pc.3utr::gencode::KLK1::ENSG00000167748.6	1	1	1	0.34759		0.66026		1	0	0	gc19_pc.3utr::gencode::KLK1::ENSG00000167748.6
gc19_pc.3utr::gencode::TPD52::ENSG00000076554.11	8	8	7	0.34774	1.0	0.65226	0.949436765309112	8	0	0	gc19_pc.3utr::gencode::TPD52::ENSG00000076554.11
gc19_pc.3utr::gencode::TRPC3::ENSG00000138741.6	2	2	2	0.34774	1.0	0.65226	0.949436765309112	2	0	0	gc19_pc.3utr::gencode::TRPC3::ENSG00000138741.6
gc19_pc.3utr::gencode::CDK3::ENSG00000250506.2	5	5	5	0.34775	1.0	0.65225	0.949436765309112	5	0	0	gc19_pc.3utr::gencode::CDK3::ENSG00000250506.2
gc19_pc.3utr::gencode::C18orf63::ENSG00000206043.6	4	4	4	0.34783	1.0	0.65217	0.949436765309112	3	0	1	gc19_pc.3utr::gencode::C18orf63::ENSG00000206043.6
gc19_pc.3utr::gencode::FAM212B::ENSG00000197852.8	5	5	5	0.34803	1.0	0.65197	0.949436765309112	5	0	0	gc19_pc.3utr::gencode::FAM212B::ENSG00000197852.8
gc19_pc.3utr::gencode::AL450307.1::ENSG00000189275.3	9	9	8	0.34811	1.0	0.65189	0.949436765309112	8	1	0	gc19_pc.3utr::gencode::AL450307.1::ENSG00000189275.3
gc19_pc.3utr::gencode::CCNH::ENSG00000134480.9	7	7	6	0.34811	1.0	0.65189	0.949436765309112	7	0	0	gc19_pc.3utr::gencode::CCNH::ENSG00000134480.9
gc19_pc.3utr::gencode::ETAA1::ENSG00000143971.7	1	1	1	0.34818		0.65258		1	0	0	gc19_pc.3utr::gencode::ETAA1::ENSG00000143971.7
gc19_pc.3utr::gencode::RILP::ENSG00000167705.7	1	1	1	0.34824		0.65409		1	0	0	gc19_pc.3utr::gencode::RILP::ENSG00000167705.7
gc19_pc.3utr::gencode::SMARCA1::ENSG00000102038.11	1	1	1	0.34826		0.65224		1	0	0	gc19_pc.3utr::gencode::SMARCA1::ENSG00000102038.11
gc19_pc.3utr::gencode::C7orf43::ENSG00000146826.10	1	1	1	0.34848		0.65158		0	0	1	gc19_pc.3utr::gencode::C7orf43::ENSG00000146826.10
gc19_pc.3utr::gencode::DHRS9::ENSG00000073737.12	1	1	1	0.34849		0.65404		1	0	0	gc19_pc.3utr::gencode::DHRS9::ENSG00000073737.12
gc19_pc.3utr::gencode::USP47::ENSG00000170242.13	4	4	4	0.34855	1.0	0.65145	0.9492311482622086	4	0	0	gc19_pc.3utr::gencode::USP47::ENSG00000170242.13
gc19_pc.3utr::gencode::SPRED3::ENSG00000188766.8	1	1	1	0.34857		0.66158		1	0	0	gc19_pc.3utr::gencode::SPRED3::ENSG00000188766.8
gc19_pc.3utr::gencode::DOK6::ENSG00000206052.6	24	24	24	0.34872	1.0	0.65128	0.9491226283367555	24	0	0	gc19_pc.3utr::gencode::DOK6::ENSG00000206052.6
gc19_pc.3utr::gencode::EDN2::ENSG00000127129.5	1	1	1	0.34872		0.6526		1	0	0	gc19_pc.3utr::gencode::EDN2::ENSG00000127129.5
gc19_pc.3utr::gencode::TRPV6::ENSG00000165125.13	1	1	1	0.34895		0.65206		1	0	0	gc19_pc.3utr::gencode::TRPV6::ENSG00000165125.13
gc19_pc.3utr::gencode::SULT2A1::ENSG00000105398.3	2	2	2	0.34903	1.0	0.65097	0.948810022003814	2	0	0	gc19_pc.3utr::gencode::SULT2A1::ENSG00000105398.3
gc19_pc.3utr::gencode::FMO2::ENSG00000094963.9	7	7	7	0.34904	1.0	0.65096	0.948810022003814	7	0	0	gc19_pc.3utr::gencode::FMO2::ENSG00000094963.9
gc19_pc.3utr::gencode::RPS19::ENSG00000105372.2	2	2	2	0.34926	1.0	0.65074	0.9487531386647102	2	0	0	gc19_pc.3utr::gencode::RPS19::ENSG00000105372.2
gc19_pc.3utr::gencode::NAALADL2::ENSG00000177694.10	9	9	9	0.34927	1.0	0.65073	0.9487531386647102	9	0	0	gc19_pc.3utr::gencode::NAALADL2::ENSG00000177694.10
gc19_pc.3utr::gencode::SUPT7L::ENSG00000119760.11	1	1	1	0.34937		0.65074		1	0	0	gc19_pc.3utr::gencode::SUPT7L::ENSG00000119760.11
gc19_pc.3utr::gencode::LRRC8D::ENSG00000171492.10	1	1	1	0.34944		0.65075		1	0	0	gc19_pc.3utr::gencode::LRRC8D::ENSG00000171492.10
gc19_pc.3utr::gencode::CCAR1::ENSG00000060339.9	2	2	2	0.34959	1.0	0.65041	0.9485503830911494	2	0	0	gc19_pc.3utr::gencode::CCAR1::ENSG00000060339.9
gc19_pc.3utr::gencode::KRT83::ENSG00000170523.3	3	3	3	0.34961	1.0	0.65039	0.9485503830911494	2	0	1	gc19_pc.3utr::gencode::KRT83::ENSG00000170523.3
gc19_pc.3utr::gencode::LONRF2::ENSG00000170500.8	28	28	26	0.34961	1.0	0.65039	0.9485503830911494	26	0	2	gc19_pc.3utr::gencode::LONRF2::ENSG00000170500.8
gc19_pc.3utr::gencode::FAM171B::ENSG00000144369.8	17	16	17	0.34966	1.0	0.65034	0.9485503830911494	16	1	0	gc19_pc.3utr::gencode::FAM171B::ENSG00000144369.8
gc19_pc.3utr::gencode::ARC::ENSG00000198576.2	6	6	6	0.34981	1.0	0.65019	0.9485503830911494	6	0	0	gc19_pc.3utr::gencode::ARC::ENSG00000198576.2
gc19_pc.3utr::gencode::INSIG2::ENSG00000125629.10	1	1	1	0.34994		0.65035		1	0	0	gc19_pc.3utr::gencode::INSIG2::ENSG00000125629.10
gc19_pc.3utr::gencode::SLC35D3::ENSG00000182747.4	5	5	5	0.35001	1.0	0.64999	0.9485503830911494	5	0	0	gc19_pc.3utr::gencode::SLC35D3::ENSG00000182747.4
gc19_pc.3utr::gencode::HNRNPD::ENSG00000138668.14	2	2	2	0.35001	1.0	0.64999	0.9485503830911494	2	0	0	gc19_pc.3utr::gencode::HNRNPD::ENSG00000138668.14
gc19_pc.3utr::gencode::SLC25A36::ENSG00000114120.7	16	16	15	0.35003	1.0	0.64997	0.9485503830911494	16	0	0	gc19_pc.3utr::gencode::SLC25A36::ENSG00000114120.7
gc19_pc.3utr::gencode::PPIL6::ENSG00000185250.11	6	6	6	0.35012	1.0	0.64988	0.9485503830911494	6	0	0	gc19_pc.3utr::gencode::PPIL6::ENSG00000185250.11
gc19_pc.3utr::gencode::POLR3F::ENSG00000132664.7	1	1	1	0.35021		0.65028		1	0	0	gc19_pc.3utr::gencode::POLR3F::ENSG00000132664.7
gc19_pc.3utr::gencode::ADAMTS9::ENSG00000163638.9	9	9	9	0.35023	1.0	0.64977	0.9485503830911494	9	0	0	gc19_pc.3utr::gencode::ADAMTS9::ENSG00000163638.9
gc19_pc.3utr::gencode::TMEM123::ENSG00000152558.10	5	5	5	0.35034	1.0	0.64966	0.9485503830911494	4	0	1	gc19_pc.3utr::gencode::TMEM123::ENSG00000152558.10
gc19_pc.3utr::gencode::RPS6KA3::ENSG00000177189.8	8	8	8	0.35042	1.0	0.64958	0.9485503830911494	8	0	0	gc19_pc.3utr::gencode::RPS6KA3::ENSG00000177189.8
gc19_pc.3utr::gencode::PAX6::ENSG00000007372.16	9	9	8	0.35053	1.0	0.64947	0.9485503830911494	9	0	0	gc19_pc.3utr::gencode::PAX6::ENSG00000007372.16
gc19_pc.3utr::gencode::ZNF626::ENSG00000188171.10	20	20	20	0.35053	1.0	0.64947	0.9485503830911494	19	0	1	gc19_pc.3utr::gencode::ZNF626::ENSG00000188171.10
gc19_pc.3utr::gencode::RARS::ENSG00000113643.4	1	1	1	0.35062		0.65229		1	0	0	gc19_pc.3utr::gencode::RARS::ENSG00000113643.4
gc19_pc.3utr::gencode::PURB::ENSG00000146676.5	15	15	15	0.35066	1.0	0.64934	0.9485503830911494	13	0	2	gc19_pc.3utr::gencode::PURB::ENSG00000146676.5
gc19_pc.3utr::gencode::HIPK2::ENSG00000064393.11	25	25	22	0.35081	1.0	0.64919	0.9485503830911494	24	0	1	gc19_pc.3utr::gencode::HIPK2::ENSG00000064393.11
gc19_pc.3utr::gencode::CCDC8::ENSG00000169515.5	6	6	6	0.35084	1.0	0.64916	0.9485503830911494	6	0	0	gc19_pc.3utr::gencode::CCDC8::ENSG00000169515.5
gc19_pc.3utr::gencode::ZNF3::ENSG00000166526.12	7	7	5	0.35086	1.0	0.64914	0.9485503830911494	7	0	0	gc19_pc.3utr::gencode::ZNF3::ENSG00000166526.12
gc19_pc.3utr::gencode::ZYX::ENSG00000159840.11	1	1	1	0.3509		0.65052		0	0	1	gc19_pc.3utr::gencode::ZYX::ENSG00000159840.11
gc19_pc.3utr::gencode::FOXP4::ENSG00000137166.10	13	13	13	0.35092	1.0	0.64908	0.9485503830911494	13	0	0	gc19_pc.3utr::gencode::FOXP4::ENSG00000137166.10
gc19_pc.3utr::gencode::HIST1H4I::ENSG00000198339.3	2	2	2	0.3511	1.0	0.6489	0.9485503830911494	2	0	0	gc19_pc.3utr::gencode::HIST1H4I::ENSG00000198339.3
gc19_pc.3utr::gencode::TPRG1::ENSG00000188001.5	10	10	9	0.35115	1.0	0.64885	0.9485503830911494	9	0	1	gc19_pc.3utr::gencode::TPRG1::ENSG00000188001.5
gc19_pc.3utr::gencode::DLGAP2::ENSG00000198010.7	27	26	24	0.3514	1.0	0.6486	0.9485503830911494	27	0	0	gc19_pc.3utr::gencode::DLGAP2::ENSG00000198010.7
gc19_pc.3utr::gencode::KMT2A::ENSG00000118058.16	12	12	12	0.35144	1.0	0.64856	0.9485503830911494	12	0	0	gc19_pc.3utr::gencode::KMT2A::ENSG00000118058.16
gc19_pc.3utr::gencode::IFI44L::ENSG00000137959.11	16	16	15	0.35151	1.0	0.64849	0.9485503830911494	16	0	0	gc19_pc.3utr::gencode::IFI44L::ENSG00000137959.11
gc19_pc.3utr::gencode::ZNF454::ENSG00000178187.3	1	1	1	0.35152		0.64901		1	0	0	gc19_pc.3utr::gencode::ZNF454::ENSG00000178187.3
gc19_pc.3utr::gencode::ZDHHC15::ENSG00000102383.9	8	8	8	0.35182	1.0	0.64818	0.9485503830911494	7	0	1	gc19_pc.3utr::gencode::ZDHHC15::ENSG00000102383.9
gc19_pc.3utr::gencode::CECR2::ENSG00000099954.14	6	6	6	0.35184	1.0	0.64816	0.9485503830911494	6	0	0	gc19_pc.3utr::gencode::CECR2::ENSG00000099954.14
gc19_pc.3utr::gencode::BCL9L::ENSG00000186174.8	11	11	11	0.35191	1.0	0.64809	0.9485503830911494	11	0	0	gc19_pc.3utr::gencode::BCL9L::ENSG00000186174.8
gc19_pc.3utr::gencode::MMAB::ENSG00000139428.7	8	8	8	0.35203	1.0	0.64797	0.9485503830911494	8	0	0	gc19_pc.3utr::gencode::MMAB::ENSG00000139428.7
gc19_pc.3utr::gencode::MUL1::ENSG00000090432.5	2	2	2	0.35235	1.0	0.64765	0.9484230508474576	2	0	0	gc19_pc.3utr::gencode::MUL1::ENSG00000090432.5
gc19_pc.3utr::gencode::PRG4::ENSG00000116690.7	2	2	2	0.35237	1.0	0.64763	0.9484230508474576	2	0	0	gc19_pc.3utr::gencode::PRG4::ENSG00000116690.7
gc19_pc.3utr::gencode::RPS3::ENSG00000149273.10	9	9	8	0.35243	1.0	0.64757	0.9484230508474576	9	0	0	gc19_pc.3utr::gencode::RPS3::ENSG00000149273.10
gc19_pc.3utr::gencode::LRRC58::ENSG00000163428.3	9	9	9	0.35256	1.0	0.64744	0.9484230508474576	8	0	1	gc19_pc.3utr::gencode::LRRC58::ENSG00000163428.3
gc19_pc.3utr::gencode::PIP5KL1::ENSG00000167103.7	2	2	2	0.3526	1.0	0.64741	0.9484230508474576	2	0	0	gc19_pc.3utr::gencode::PIP5KL1::ENSG00000167103.7
gc19_pc.3utr::gencode::CHDH::ENSG00000016391.6	6	6	6	0.35266	1.0	0.64734	0.9484230508474576	6	0	0	gc19_pc.3utr::gencode::CHDH::ENSG00000016391.6
gc19_pc.3utr::gencode::LRRC55::ENSG00000183908.5	15	15	14	0.35272	1.0	0.64728	0.9484230508474576	15	0	0	gc19_pc.3utr::gencode::LRRC55::ENSG00000183908.5
gc19_pc.3utr::gencode::MALT1::ENSG00000172175.8	3	3	3	0.35291	1.0	0.64709	0.9484230508474576	3	0	0	gc19_pc.3utr::gencode::MALT1::ENSG00000172175.8
gc19_pc.3utr::gencode::CIDEB::ENSG00000136305.7	1	1	1	0.35291		0.64741		1	0	0	gc19_pc.3utr::gencode::CIDEB::ENSG00000136305.7
gc19_pc.3utr::gencode::ZMYM6::ENSG00000163867.12	3	3	3	0.35307	1.0	0.64693	0.9484230508474576	3	0	0	gc19_pc.3utr::gencode::ZMYM6::ENSG00000163867.12
gc19_pc.3utr::gencode::RP11-1C1.5::ENSG00000249160.1	2	2	2	0.35314	1.0	0.64686	0.9484230508474576	2	0	0	gc19_pc.3utr::gencode::RP11-1C1.5::ENSG00000249160.1
gc19_pc.3utr::gencode::PIK3CB::ENSG00000051382.4	3	3	3	0.35331	1.0	0.64669	0.9484150317343174	3	0	0	gc19_pc.3utr::gencode::PIK3CB::ENSG00000051382.4
gc19_pc.3utr::gencode::POU6F2::ENSG00000106536.15	19	19	18	0.35336	1.0	0.64664	0.9484150317343174	18	0	1	gc19_pc.3utr::gencode::POU6F2::ENSG00000106536.15
gc19_pc.3utr::gencode::FAM189A1::ENSG00000104059.4	14	14	14	0.35338	1.0	0.64662	0.9484150317343174	13	0	1	gc19_pc.3utr::gencode::FAM189A1::ENSG00000104059.4
gc19_pc.3utr::gencode::TET3::ENSG00000187605.11	7	7	7	0.35339	1.0	0.64661	0.9484150317343174	7	0	0	gc19_pc.3utr::gencode::TET3::ENSG00000187605.11
gc19_pc.3utr::gencode::OPALIN::ENSG00000197430.6	6	6	6	0.35345	1.0	0.64655	0.9484150317343174	6	0	0	gc19_pc.3utr::gencode::OPALIN::ENSG00000197430.6
gc19_pc.3utr::gencode::SGTA::ENSG00000104969.5	4	4	4	0.35352	1.0	0.64648	0.9484150317343174	4	0	0	gc19_pc.3utr::gencode::SGTA::ENSG00000104969.5
gc19_pc.3utr::gencode::CARD18::ENSG00000255501.1	4	4	4	0.35365	1.0	0.64635	0.9484150317343174	4	0	0	gc19_pc.3utr::gencode::CARD18::ENSG00000255501.1
gc19_pc.3utr::gencode::DHTKD1::ENSG00000181192.7	7	7	7	0.35365	1.0	0.64635	0.9484150317343174	7	0	0	gc19_pc.3utr::gencode::DHTKD1::ENSG00000181192.7
gc19_pc.3utr::gencode::MB21D2::ENSG00000180611.6	11	11	11	0.35383	1.0	0.64617	0.9484150317343174	11	0	0	gc19_pc.3utr::gencode::MB21D2::ENSG00000180611.6
gc19_pc.3utr::gencode::ERP27::ENSG00000139055.2	3	3	3	0.3539	1.0	0.6461	0.9484150317343174	3	0	0	gc19_pc.3utr::gencode::ERP27::ENSG00000139055.2
gc19_pc.3utr::gencode::SCG5::ENSG00000166922.4	1	1	1	0.35395		0.64665		1	0	0	gc19_pc.3utr::gencode::SCG5::ENSG00000166922.4
gc19_pc.3utr::gencode::CERS6::ENSG00000172292.10	12	12	12	0.35407	1.0	0.64593	0.9484150317343174	11	0	1	gc19_pc.3utr::gencode::CERS6::ENSG00000172292.10
gc19_pc.3utr::gencode::CYB561A3::ENSG00000162144.5	4	4	4	0.3542	1.0	0.6458	0.9484150317343174	4	0	0	gc19_pc.3utr::gencode::CYB561A3::ENSG00000162144.5
gc19_pc.3utr::gencode::SYTL5::ENSG00000147041.7	5	5	5	0.35424	1.0	0.64576	0.9484150317343174	5	0	0	gc19_pc.3utr::gencode::SYTL5::ENSG00000147041.7
gc19_pc.3utr::gencode::TBK1::ENSG00000183735.5	1	1	1	0.35425		0.64595		0	0	1	gc19_pc.3utr::gencode::TBK1::ENSG00000183735.5
gc19_pc.3utr::gencode::RPS24::ENSG00000138326.14	3	3	3	0.35436	1.0	0.64564	0.9484150317343174	3	0	0	gc19_pc.3utr::gencode::RPS24::ENSG00000138326.14
gc19_pc.3utr::gencode::POU2F2::ENSG00000028277.16	15	15	13	0.35439	1.0	0.64561	0.9484150317343174	15	0	0	gc19_pc.3utr::gencode::POU2F2::ENSG00000028277.16
gc19_pc.3utr::gencode::GNAO1::ENSG00000087258.9	9	9	7	0.35442	1.0	0.64558	0.9484150317343174	8	0	1	gc19_pc.3utr::gencode::GNAO1::ENSG00000087258.9
gc19_pc.3utr::gencode::NOXRED1::ENSG00000165555.5	3	3	3	0.3545	1.0	0.6455	0.9484150317343174	3	0	0	gc19_pc.3utr::gencode::NOXRED1::ENSG00000165555.5
gc19_pc.3utr::gencode::UGT1A10::ENSG00000242515.1	2	2	2	0.35453	1.0	0.64547	0.9484150317343174	2	0	0	gc19_pc.3utr::gencode::UGT1A10::ENSG00000242515.1
gc19_pc.3utr::gencode::KRTAP19-5::ENSG00000186977.2	1	1	1	0.3547		0.64834		1	0	0	gc19_pc.3utr::gencode::KRTAP19-5::ENSG00000186977.2
gc19_pc.3utr::gencode::RAB37::ENSG00000172794.15	7	7	7	0.35477	1.0	0.64523	0.9484150317343174	6	0	1	gc19_pc.3utr::gencode::RAB37::ENSG00000172794.15
gc19_pc.3utr::gencode::RABAC1::ENSG00000105404.6	1	1	1	0.35484		0.64766		1	0	0	gc19_pc.3utr::gencode::RABAC1::ENSG00000105404.6
gc19_pc.3utr::gencode::PRRT3::ENSG00000163704.7	1	1	1	0.35499		0.64521		1	0	0	gc19_pc.3utr::gencode::PRRT3::ENSG00000163704.7
gc19_pc.3utr::gencode::CGGBP1::ENSG00000163320.6	4	4	4	0.35501	1.0	0.64499	0.9484150317343174	3	0	1	gc19_pc.3utr::gencode::CGGBP1::ENSG00000163320.6
gc19_pc.3utr::gencode::MRPS33::ENSG00000090263.11	2	2	2	0.35503	1.0	0.64497	0.9484150317343174	1	0	1	gc19_pc.3utr::gencode::MRPS33::ENSG00000090263.11
gc19_pc.3utr::gencode::TMIGD1::ENSG00000182271.8	1	1	1	0.35505		0.64582		1	0	0	gc19_pc.3utr::gencode::TMIGD1::ENSG00000182271.8
gc19_pc.3utr::gencode::FBN3::ENSG00000142449.8	2	2	2	0.3551	1.0	0.6449	0.9484150317343174	2	0	0	gc19_pc.3utr::gencode::FBN3::ENSG00000142449.8
gc19_pc.3utr::gencode::TFEB::ENSG00000112561.13	4	4	4	0.35512	1.0	0.64488	0.9484150317343174	4	0	0	gc19_pc.3utr::gencode::TFEB::ENSG00000112561.13
gc19_pc.3utr::gencode::OR10W1::ENSG00000172772.3	1	1	1	0.35514		0.64855		1	0	0	gc19_pc.3utr::gencode::OR10W1::ENSG00000172772.3
gc19_pc.3utr::gencode::CHGA::ENSG00000100604.8	3	3	3	0.35552	1.0	0.64448	0.9483935545023697	3	0	0	gc19_pc.3utr::gencode::CHGA::ENSG00000100604.8
gc19_pc.3utr::gencode::C3orf55::ENSG00000174899.6	13	13	13	0.35572	1.0	0.64428	0.9482396800474003	12	0	1	gc19_pc.3utr::gencode::C3orf55::ENSG00000174899.6
gc19_pc.3utr::gencode::PLOD1::ENSG00000083444.12	4	4	4	0.35578	1.0	0.64422	0.9482396800474003	4	0	0	gc19_pc.3utr::gencode::PLOD1::ENSG00000083444.12
gc19_pc.3utr::gencode::MARCKS::ENSG00000155130.5	1	1	1	0.35581		0.64441		1	0	0	gc19_pc.3utr::gencode::MARCKS::ENSG00000155130.5
gc19_pc.3utr::gencode::TBKBP1::ENSG00000198933.5	5	5	5	0.35586	1.0	0.64414	0.9482396800474003	4	1	0	gc19_pc.3utr::gencode::TBKBP1::ENSG00000198933.5
gc19_pc.3utr::gencode::SGIP1::ENSG00000118473.17	12	12	12	0.35589	1.0	0.64411	0.9482396800474003	11	1	0	gc19_pc.3utr::gencode::SGIP1::ENSG00000118473.17
gc19_pc.3utr::gencode::LLGL2::ENSG00000073350.9	2	2	2	0.35606	1.0	0.64394	0.9482396800474003	2	0	0	gc19_pc.3utr::gencode::LLGL2::ENSG00000073350.9
gc19_pc.3utr::gencode::LRRCC1::ENSG00000133739.11	1	1	1	0.35606		0.64527		1	0	0	gc19_pc.3utr::gencode::LRRCC1::ENSG00000133739.11
gc19_pc.3utr::gencode::C9orf3::ENSG00000148120.10	2	2	2	0.35609	1.0	0.64391	0.9482396800474003	1	0	1	gc19_pc.3utr::gencode::C9orf3::ENSG00000148120.10
gc19_pc.3utr::gencode::TPM2::ENSG00000198467.9	4	4	4	0.35616	1.0	0.64384	0.9482396800474003	4	0	0	gc19_pc.3utr::gencode::TPM2::ENSG00000198467.9
gc19_pc.3utr::gencode::LMO3::ENSG00000048540.10	6	6	6	0.35619	1.0	0.64381	0.9482396800474003	6	0	0	gc19_pc.3utr::gencode::LMO3::ENSG00000048540.10
gc19_pc.3utr::gencode::HDX::ENSG00000165259.9	4	4	4	0.35626	1.0	0.64374	0.9482396800474003	3	0	1	gc19_pc.3utr::gencode::HDX::ENSG00000165259.9
gc19_pc.3utr::gencode::MARK4::ENSG00000007047.10	9	9	9	0.35629	1.0	0.64371	0.9482396800474003	8	0	1	gc19_pc.3utr::gencode::MARK4::ENSG00000007047.10
gc19_pc.3utr::gencode::PPAPDC1A::ENSG00000203805.6	5	5	5	0.35631	1.0	0.64369	0.9482396800474003	4	0	1	gc19_pc.3utr::gencode::PPAPDC1A::ENSG00000203805.6
gc19_pc.3utr::gencode::PSMD11::ENSG00000108671.5	5	5	5	0.35641	1.0	0.64359	0.9482396800474003	4	0	1	gc19_pc.3utr::gencode::PSMD11::ENSG00000108671.5
gc19_pc.3utr::gencode::ZSWIM3::ENSG00000132801.5	3	3	3	0.35663	1.0	0.64337	0.9482396800474003	3	0	0	gc19_pc.3utr::gencode::ZSWIM3::ENSG00000132801.5
gc19_pc.3utr::gencode::DBT::ENSG00000137992.10	12	12	11	0.35664	1.0	0.64336	0.9482396800474003	11	0	1	gc19_pc.3utr::gencode::DBT::ENSG00000137992.10
gc19_pc.3utr::gencode::TRAPPC6B::ENSG00000182400.10	6	6	6	0.35674	1.0	0.64326	0.9482396800474003	5	1	0	gc19_pc.3utr::gencode::TRAPPC6B::ENSG00000182400.10
gc19_pc.3utr::gencode::CYBRD1::ENSG00000071967.7	8	8	8	0.35675	1.0	0.64325	0.9482396800474003	8	0	0	gc19_pc.3utr::gencode::CYBRD1::ENSG00000071967.7
gc19_pc.3utr::gencode::DYNLT3::ENSG00000165169.6	1	1	1	0.35684		0.64349		1	0	0	gc19_pc.3utr::gencode::DYNLT3::ENSG00000165169.6
gc19_pc.3utr::gencode::SCAI::ENSG00000173611.13	12	12	12	0.35688	1.0	0.64312	0.9482396800474003	10	0	2	gc19_pc.3utr::gencode::SCAI::ENSG00000173611.13
